name,id,qid,display_name,full_names,duplicate_of
A.W. Sijthoff's uitgeversmaatschappij,P1,Q60042813,A.W. Sijthoff,A.W. Sijthoff's uitgeversmaatschappij,
ANEMOON,P2,Q2438169,ANEMOON,Stichting ANEMOON,
"Academia, Praha",P3,Q10379185,Academia,,
Academic Board Research Committee of the College of Ripon & York St John,P4,Q8055565,Academic Board Research Committee of the College of Ripon & York St John,,
Academy of Natural Sciences,P5,Q2822400,Academy of Natural Sciences,Academy of Natural Sciences of Drexel University,
"Akademie-Verlag, Berlin",P6,Q413958,Akademie Verlag,,
Akademische Verlagsgesellschaft Geest & Portig KG.,P7,Q28325722,Akademische Verlagsgesellschaft Geest & Portig K.-G.,,
All-Russian Institute of Plant Protection,P8,Q4127509,All-Russian Institute of Plant Protection,,
American Entomological Institute,P9,Q23933017,American Entomological Institute,,
American Entomological Society,P10,Q3488260,American Entomological Society,,
American Museum of Natural History,P11,Q217717,American Museum of Natural History,,
Amphx-Verlag,P12,Q107902538,Ampyx-Verlag,,
Apollo Booksellers,P13,Q110157657,Apollo Booksellers,,
Arbeitsgemeinschaft westfälischer Entomologen,P14,Q48370814,Arbeitsgemeinschaft Westfälischer Entomologen,,
ArtDatabanken,P15,Q16497181,ArtDatabanken,,
Artsdatabanken,P16,Q4582714,Artsdatabanken,Norwegian Biodiversity Information Centre,
Australian Museum,P17,Q769416,Australian Museum,,
Avium förlag,P18,Q131938301,Avium förlag,,
BIOTOPE,P19,Q107726598,Éditions Biotope,,
Belgische Jeugdbond voor Natuurstudie,P20,Q2678707,Belgische Jeugdbond voor Natuurstudie,,
Biofokus,P21,Q11961061,Biofokus,,
Biological Survey of Canada,P22,,Biological Survey of Canada,,
Biologiezentrum,P23,Q86051262,Biologiezentrum,Biologiezentrum Linz,
Bloomsbury Publishing,P24,Q568642,Bloomsbury Publishing,,
Botanischen Arbeitsgemeinschaft am Oberösterreichisches Landesmuseum Linz,P25,,Botanischen Arbeitsgemeinschaft am Oberösterreichisches Landesmuseum Linz,,
Breughel,P26,Q107390326,G.W. Breughel,,
Brill,P27,Q917031,Brill,,
British Entomological and Natural History Society,P28,Q4969935,British Entomological and Natural History Society,,
CSCF,P29,Q2946071,CSCF,Centre Suisse de Cartographie de la Faune,
CSIRO,P30,Q1117048,CSIRO,Commonwealth Scientific and Industrial Research Organisation,
Calderini,P31,Q107587904,Calderini,,
Carl von Ossietzky Universität Oldenburg,P32,Q597758,Carl von Ossietzky Universität Oldenburg,,
Christelijke Jeugdbond van Natuurvrienden,P33,Q2450099,Christelijke Jeugdbond van Natuurvrienden,,
Collins,P34,Q8007001,Collins,"William Collins, Sons & Co.",
Consejo Superior de Investigaciones Científicas,P35,Q1024362,CSIC,Consejo Superior de Investigaciones Científicas,
Danmarks BIlleBank,P36,,Danmarks BilleBank,,
De Gruyter; Walter de Gruyter,P37,Q98818,De Gruyter,Walter De Gruyter,
De Gruyter Poland,P38,,De Gruyter Poland,,
De Vlinderstichting; Vlinderstichting,P39,Q2848066,De Vlinderstichting,Dutch Butterfly Conservation,
Delachaux et Niestlé,P40,Q3021415,Delachaux et Niestlé,,
"Department of Agricultural and Food Sciences, University of Bologna",P41,,"Department of Agricultural and Food Sciences, University of Bologna",,
Deutscher Jugendbund für Naturbeobachtung,P42,Q1204966,Deutscher Jugendbund für Naturbeobachtung,,
Diatheo,P43,,Diatheo,,
Diptera Recording Scheme,P44,,Diptera Recording Scheme,,
Dipterists Forum,P45,Q5280092,Dipterists Forum,,
Dr. Reinhold Meyer,P46,Q55067865,Dr. Reinhold Meyer,Heinrich Reinhold Meyer,
Duncker & Humblot,P47,Q316626,Duncker & Humblot,,
EIS,P48,Q106511951,EIS,,
ETI,P49,Q131450988,ETI,Expertisecentrum voor Taxonomische Identificatie,
Editions Ancyrosoma,P50,Q124609048,Éditions Ancyrosoma,,
Educatie Limburgs landschap vzw,P51,Q2672434,Limburgs Landschap,Limburgs Landschap vzw,
Elsevier,P52,Q746413,Elsevier,,
Enk Mauch Verlag,P53,Q107390403,Erik Mauch Verlag,,
Entomofaunistischen Gesellschaft,P54,Q133883879,Entomofaunistischen Gesellschaft,Entomofaunistische Gesellschaft e. V.,
Entomological Society of America,P55,Q3487623,Entomological Society of America,,
Entomological Society of Canada,P56,Q4532104,Entomological Society of Canada,,
Entomological Society of Washington,P57,Q4532103,Entomological Society of Washington,,
Entomologiska föreningen i Stockholm,P58,Q107587864,Entomologiska föreningen i Stockholm,,
Erwin Scheuchl,P59,Q21337753,Erwin Scheuchl,,
European Butterflies Group,P60,,European Butterflies Group,,
FLORON,P61,Q2208455,FLORON,Floristisch Onderzoek Nederland,
Field Studies Council,P62,Q5446957,Field Studies Council,,
Florida Entomological Society,P63,Q52610963,Florida Entomological Society,,
Fondation Biotope,P64,Q48748963,Biotope,,
"Forest Research Centre, Sandakan",P65,Q30296216,Forest Research Centre,Sabah Forestry Department,
Franckh-Kosmos Verlags; Franck Suttgart,P66,Q881194,Franckh-Kosmos Verlag,Franckh-Kosmos Verlag-GmbJ & Co. KG,
Freshwater Biological Association,P67,Q5503114,Freshwater Biological Association,,
Fritz Wagner,P68,Q15296214,Fritz Wagner,,
Frontiers,P69,Q80796,Frontiers Media,,
Fédération Française des Sociétés de Sciences Naturelles,P70,Q2390643,Fédération Française des Sociétés de Sciences Naturelles,,
G. E. C. Gad; Gads Forlag,P71,Q12313418,Gads Forlag,Gottlieb Ernst Clausen Gad,
G. Fischer; Gustav Fischer; Gustav Fischer Verlag,P72,Q1555801,Gustav Fischer Verlag,,
Gard Nature,P73,Q94758022,Gard Nature,,
Gondolat Kiadó,P74,Q1011822,Gondolat Kiadó,Gondolat Publishing,
Haupt,P75,Q1589405,Verlag Paul Haupt,,
Herzen State Pedagogical University of Russia,P76,Q323681,Herzen University,Herzen State Pedagogical University of Russia,
Heteropterus,P77,,Heteropterus,,
Hoshizaki Wildlife Research Institute,P78,,Hoshizaki Wildlife Research Institute,星崎野生動物研究所,
IVN-Asten/Someren,P79,,IVN-Asten/Someren,IVN afdeling Asten/Someren,
Imprimerie Toulousaine,P80,,Imprimerie Toulousaine,,
Institut Royal des Sciences Naturelles de Belgique; Koninklijk Belgisch Instituut voor Natuurwetenschappen; RBINS; ,P81,Q16665660,Institut royal des sciences naturelles de Belgique,RBINS; Koninklijk Belgisch Instituut voor Natuurwetenschappen; KBIN,
Institute of Landscape Ecology,P82,Q30254723,Institute of Landscape Ecology,,
Instituto Español de Entomología,P83,,Instituto Español de Entomología,,
Instituut voor Natuur- en Bosonderzoek,P84,Q2913980,Instituut voor Natuur- en Bosonderzoek,INBO,
International Network for Natural Sciences,P85,,International Network for Natural Sciences,,
Internationalen Entomologischen Vereins e.V,P86,,Internationalen Entomologischen Vereins,Internationalen Entomologischen Vereins e. V.,
J.E. Purkyně v Brně,P87,Q763586,J.E. Purkyně v Brně,Univerzita Jana Evangelisty Purkyně v Brně,
JBU; Jeugbondsuitgeverij; Jeugdbondsuitgeverij,P88,Q104500196,JBU,Jeugdbondsuitgeverij,
JNM,P89,Q2027643,JNM,Jeugdbond voor Natuur en Milieu,
Jeunes et Nature,P90,Q107614237,Jeunes et Nature,,
Josef Margraf,P91,Q54316231,Josef Margraf,,
KNNV; KNNV Uitgeverij,P92,Q1877862,KNNV,Koninklijke Nederlandse Natuurhistorische Vereniging,
KNNV-afdeling Tilburg,P93,,KNNV-afdeling Tilburg,,
Kansas (Central States) Entomological Society,P94,Q133884312,Central States Entomological Society,Kansas Entomological Society; CSES,
Katholieke Jeugdorganisatie voor Natuurstudie,P95,Q133884340,Katholieke Jeugdorganisatie voor Natuurstudie,KJN,
Koninklijke Maatschappij voor Dierkunde Antwerpen,P96,Q2368152,Koninklijke Maatschappij voor Dierkunde Antwerpen,,
Korean Society of Applied Entomology,P97,Q12623527,Korean Society of Applied Entomology,한국응용곤충학회,
Kosmos Uitgevers,P98,Q2415458,Kosmos Uitgevers,,
Kraus Reprint,P99,,Kraus Reprint,,
Landesanstalt für Umweltschutz Baden-Württemberg,P100,Q1802082,Landesanstalt für Umweltschutz Baden-Württemberg,"Landesanstalt für Umwelt, Messungen und Naturschutz Baden-Württemberg",
Lars Svensson,P101,Q1806338,Lars Svensson,,
Laurent Demongin,P102,Q112513933,Laurent Demongin,,
Les Presses Universitaires de France,P103,,Les Presses Universitaires de France,,
Librairie de la Faculte des Sciences,P104,,Librairie de la Faculte des Sciences,,
M. de Waal,P105,Q108922424,M. de Waal,,
MNHN; Muséum national d’Histoire naturelle; Publications Scientifiques du Muséum national d’Histoire naturelle,P106,Q838691,Muséum national d'histoire naturelle,,
Magnolia Press,P107,Q15088586,Magnolia Press,,
Manaaki Whenua,P108,Q1801980,Manaaki Whenua – Landcare Research,,
Masson,P109,Q3579423,Masson,,
Maximilian Schwarz,P110,Q21337627,Maximilian Schwarz,,
