scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B2374:2:1,Lygaeidae,,,,,,family,,B2374:2,accepted,,,,,,,,,Lygaeidae,,,,,Lygeides,,8NKMB,7888,8NKMB,7888
B2374:2:2,Pyrrhocorini,,,,,,tribe,,B2374:2,accepted,,,B2374:2:1,Lygaeidae,,,,,Lygaeidae,,,,Lygaeidae,Pyrrhocorini,,,,,
B2374:2:3,Pyrrhocoris Fall.,Fall.,,,,,genus,,B2374:2,accepted,,,B2374:2:2,Pyrrhocorini,,,,,Lygaeidae,,Pyrrhocoris,,Lygaeidae | Pyrrhocorini,Pyrrhocoris Fall.,,SBMCT,4407618,SBMCT,4407618
B2374:2:4,Pyrrhocoris marginatus Kol.,Kol.,Pyrrhocoris,,marginatus,,species,,B2374:2,accepted,,,B2374:2:3,Pyrrhocoris Fall.,,,,,Lygaeidae,,Pyrrhocoris,,Lygaeidae | Pyrrhocorini | Pyrrhocoris,marginatus Kol.,,SBMF8,4486824,SBMF8,4486824
B2374:2:5,Pyrrhocoris apterus Lin.,Lin.,Pyrrhocoris,,apterus,,species,,B2374:2,accepted,,,B2374:2:3,Pyrrhocoris Fall.,,,,,Lygaeidae,,Pyrrhocoris,,Lygaeidae | Pyrrhocorini | Pyrrhocoris,apterus Lin.,,SBMD6,4486826,SBMD6,4486826
B2374:2:6,Lygaeini,,,,,,tribe,,B2374:2,accepted,,,B2374:2:1,Lygaeidae,,,,,Lygaeidae,,,,Lygaeidae,Lygaeini,,CM242,,C7J7N,
B2374:2:7,Lygaeus Fab.,Fab.,,,,,genus,,B2374:2,accepted,,,B2374:2:6,Lygaeini,,,,,Lygaeidae,,Lygaeus,,Lygaeidae | Lygaeini,Lygaeus Fab.,,8NNXR,2007851,8NNXR,2007851
B2374:2:8,Lygaeus familiaris Fab.,Fab.,Lygaeus,,familiaris,,species,,B2374:2,accepted,,,B2374:2:7,Lygaeus Fab.,,,,,Lygaeidae,,Lygaeus,,Lygaeidae | Lygaeini | Lygaeus,familiaris Fab.,,8QMRM,11394428,VGF3J,8991573
B2374:2:9,Lygaeus equestris L.,L.,Lygaeus,,equestris,,species,,B2374:2,accepted,,,B2374:2:7,Lygaeus Fab.,,,,,Lygaeidae,,Lygaeus,,Lygaeidae | Lygaeini | Lygaeus,equestris L.,,VDV5L,2007862,VDV5L,2007862
B2374:2:10,Lygaeus saxatilis Scop.,Scop.,Lygaeus,,saxatilis,,species,,B2374:2,accepted,,,B2374:2:7,Lygaeus Fab.,,,,,Lygaeidae,,Lygaeus,,Lygaeidae | Lygaeini | Lygaeus,saxatilis Scop.,,8QP82,11408030,L2PP6,8777604
B2374:2:11,Lygaeus apuanus Rossi.,Rossi.,Lygaeus,,apuanus,,species,,B2374:2,accepted,,,B2374:2:7,Lygaeus Fab.,,,,,Lygaeidae,,Lygaeus,,Lygaeidae | Lygaeini | Lygaeus,apuanus Rossi.,,VF53C,10375406,QVDVR,4486289
B2374:2:12,Lygaeus punctatoguttatus Fab.,Fab.,Lygaeus,,punctatoguttatus,,species,,B2374:2,accepted,,,B2374:2:7,Lygaeus Fab.,,,,,Lygaeidae,,Lygaeus,,Lygaeidae | Lygaeini | Lygaeus,punctatoguttatus Fab.,,8QMVY,12350483,PKGLM,4486348
B2374:2:13,Nysius Dall.,Dall.,,,,,genus,,B2374:2,accepted,,,B2374:2:6,Lygaeini,,,,,Lygaeidae,,Nysius,,Lygaeidae | Lygaeini,Nysius Dall.,,8NTKK,2007771,8NTKK,2007771
B2374:2:14,Nysius graminicola Kol.,Kol.,Nysius,,graminicola,,species,,B2374:2,accepted,,,B2374:2:13,Nysius Dall.,,,,,Lygaeidae,,Nysius,,Lygaeidae | Lygaeini | Nysius,graminicola Kol.,,KVKFY,4486376,KVKFY,4486376
B2374:2:15,Nysius jacobaeae Schill.,Schill.,Nysius,,jacobaeae,,species,,B2374:2,accepted,,,B2374:2:13,Nysius Dall.,,,,,Lygaeidae,,Nysius,,Lygaeidae | Lygaeini | Nysius,Jacobeae Schill.,,VGRJW,9277497,47JFM,5758838
B2374:2:16,Nysius punctipennis H. S.,H. S.,Nysius,,punctipennis,,species,,B2374:2,accepted,,,B2374:2:13,Nysius Dall.,,,,,Lygaeidae,,Nysius,,Lygaeidae | Lygaeini | Nysius,punctipennis H. S.,,VF78V,11386837,VDYKT,4486391
