scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B136:41:1,Gonioctena,,,,,,genus,,B136:41,accepted,,,,,,,,,,,Gonioctena,,,Gonioctena,4Q4N,8818741,4Q4N,8818741
B136:41:2,Phytodecta,,,,,,genus,,B136:41,synonym,B136:41:1,Gonioctena,,,,,,,,,Phytodecta,,,Phytodecta,,4292485,,7895904
B136:41:3,Gonioctena pallida (L.),(L.),Gonioctena,,pallida,,species,,B136:41,accepted,,,B136:41:1,Gonioctena,,,,,,,Gonioctena,,Gonioctena,pallida (L.),,4459806,,4459806
B136:41:4,Gonioctena quinquepunctata (Fabr.),(Fabr.),Gonioctena,,quinquepunctata,,species,,B136:41,accepted,,,B136:41:1,Gonioctena,,,,,,,Gonioctena,,Gonioctena,quinquepunctata (Fabr.),,4459802,,4459802
B136:41:5,Gonioctena intermedia (Hellies.),(Hellies.),Gonioctena,,intermedia,,species,,B136:41,accepted,,,B136:41:1,Gonioctena,,,,,,,Gonioctena,,Gonioctena,intermedia (Hellies.),,4459804,,4459804
B136:41:6,Gonioctena decemnotata (Mrsh.),(Mrsh.),Gonioctena,,decemnotata,,species,,B136:41,accepted,,,B136:41:1,Gonioctena,,,,,,,Gonioctena,,Gonioctena,decemnotata (Mrsh.),,4459766,,4459766
B136:41:7,Gonioctena rufipes DeG.,DeG.,Gonioctena,,rufipes,,species,,B136:41,synonym,B136:41:6,Gonioctena decemnotata (Mrsh.),,,,,,,,,Gonioctena,,Gonioctena,rufipes DeG.,,8453696,,4459766
B136:41:8,Gonioctena decaspilota (Ach.),(Ach.),Gonioctena,,decaspilota,,species,,B136:41,accepted,,,B136:41:1,Gonioctena,,,,,,,Gonioctena,,Gonioctena,decaspilota (Ach.),,4459774,,1047804
B136:41:9,Gonioctena affinis Gyll.,Gyll.,Gonioctena,,affinis,,species,,B136:41,synonym,B136:41:8,Gonioctena decaspilota (Ach.),,,,,,,,,Gonioctena,,Gonioctena,affinis Gyll.,,4459775,,1047804
B136:41:10,Gonioctena linnaeana (Schr.),(Schr.),Gonioctena,,linnaeana,,species,,B136:41,accepted,,,B136:41:1,Gonioctena,,,,,,,Gonioctena,,Gonioctena,linnaeana (Schr.),,4459783,,4459783
B136:41:11,Gonioctena norvegica (Strand),(Strand),Gonioctena,,norvegica,,species,,B136:41,accepted,,,B136:41:1,Gonioctena,,,,,,,Gonioctena,,Gonioctena,norvegica (Strand),,4459769,,4459769
B136:41:12,Gonioctena flavicornis (Suffr.),(Suffr.),Gonioctena,,flavicornis,,species,,B136:41,accepted,,,B136:41:1,Gonioctena,,,,,,,Gonioctena,,Gonioctena,flavicornis (Suffr.),,4459771,,4459771
