scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B571:3:1,Crabroninae,,,,,,subfamily,,B571:3,accepted,,,,,,,,,,Crabroninae,,,,Crabroninae,JDR,,JDR,
B571:3:2,Crabronini,,,,,,tribe,,B571:3,accepted,,,B571:3:1,Crabroninae,,,,,,Crabroninae,,,Crabroninae,Crabronini,KQZ,,KQZ,
B571:3:3,"Crabro Fabricius, 1775","Fabricius, 1775",,,,,genus,,B571:3,accepted,,,B571:3:2,Crabronini,,,,,,Crabroninae,Crabro,,Crabroninae | Crabronini,"Crabro Fabricius, 1775",3V4L,1361459,3V4L,1361459
B571:3:4,"Thyreopus Lepeletier & Brullé, 1835","Lepeletier & Brullé, 1835",,,,,genus,,B571:3,synonym,B571:3:3,"Crabro Fabricius, 1775",,,,,,,,Crabroninae,Thyreopus,,Crabroninae | Crabronini,"Thyreopus Lepeletier & Brullé, 1835",7WKS,4670464,3V4L,1361459
B571:3:5,"Thyreocnemus A. Costa, 1871","A. Costa, 1871",,,,,genus,,B571:3,synonym,B571:3:3,"Crabro Fabricius, 1775",,,,,,,,Crabroninae,Thyreocnemus,,Crabroninae | Crabronini,"Thyreocnemus A. Costa, 1871",7WKH,4673004,3V4L,1361459
B571:3:6,"Anothyreus Dahlbom, 1845","Dahlbom, 1845",,,,,genus,,B571:3,synonym,B571:3:3,"Crabro Fabricius, 1775",,,,,,,,Crabroninae,Anothyreus,,Crabroninae | Crabronini,"Anothyreus Dahlbom, 1845",X43,4681384,3V4L,1361459
B571:3:7,"Hemithyreopus Pate, 1944","Pate, 1944",,,,,genus,,B571:3,synonym,B571:3:3,"Crabro Fabricius, 1775",,,,,,,,Crabroninae,Hemithyreopus,,Crabroninae | Crabronini,"Hemithyreopus Pate, 1944",4VFS,4674196,3V4L,1361459
B571:3:8,"Anothyreus Dahlbom, 1845","Dahlbom, 1845",,,,,subgenus,,B571:3,accepted,,,B571:3:3,"Crabro Fabricius, 1775",,,,,,Crabroninae,Crabro,Anothyreus,Crabroninae | Crabronini | Crabro,"Anothyreus Dahlbom, 1845",X43,,3V4L,
B571:3:9,"Crabro lapponicus Zetterstedt, 1838","Zetterstedt, 1838",Crabro,Anothyreus,lapponicus,,species,,B571:3,accepted,,,B571:3:8,"Anothyreus Dahlbom, 1845",,,,,,Crabroninae,Crabro,Anothyreus,Crabroninae | Crabronini | Crabro | Anothyreus,"lapponicus Zetterstedt, 1838",Z3PW,4495027,Z3PW,4495027
B571:3:10,"Crabro maeklini A. Morawitz, 1866","A. Morawitz, 1866",Crabro,Anothyreus,maeklini,,species,,B571:3,accepted,,,B571:3:8,"Anothyreus Dahlbom, 1845",,,,,,Crabroninae,Crabro,Anothyreus,Crabroninae | Crabronini | Crabro | Anothyreus,"maeklini A. Morawitz, 1866",Z3R8,4495023,Z3R8,4495023
